                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9399,                 3.9504,                 1.9805,                0.02166,                0.69923,                0.15899,                0.07983,                  1.524,                 3.5158,                 1.5933,              0.0032857,              0.0032857,              0.0032857
                      2,                 1.5855,                 2.7169,                 1.6207,                0.64721,                0.70752,                0.70569,                0.35662,                 1.5828,                 1.6222,                 1.6118,              0.0066125,              0.0066125,              0.0066125
                      3,                 1.5769,                 1.7439,                 1.5995,                0.69511,                0.87043,                  0.758,                0.41494,                 1.4989,                 1.2922,                 1.5566,              0.0099327,              0.0099327,              0.0099327
                      4,                 1.5208,                 1.5218,                 1.5311,                0.72902,                0.85192,                0.77134,                0.45097,                 1.3642,                 1.1489,                  1.484,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.4589,                 1.3848,                 1.4757,                0.70939,                0.88741,                 0.7832,                0.44755,                 1.4166,                 1.1571,                 1.4535,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.4406,                 1.3356,                 1.4493,                0.71441,                0.91266,                0.76877,                0.45808,                 1.3031,                 1.1138,                 1.3765,              0.0099604,              0.0099604,              0.0099604
                      7,                  1.413,                 1.2835,                 1.4303,                0.71045,                0.93294,                0.77755,                0.46157,                 1.3123,                 1.0601,                 1.3791,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.4006,                 1.2664,                 1.4239,                 0.6981,                0.88973,                0.78565,                0.46916,                 1.3027,                 1.0179,                 1.3737,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.3709,                 1.2268,                 1.3957,                0.73472,                0.93053,                 0.7962,                0.48705,                 1.3234,                 1.0063,                 1.3711,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.3678,                 1.2235,                 1.4098,                 0.7358,                 0.9339,                 0.7968,                0.48544,                 1.2909,                0.96218,                 1.3432,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.3483,                 1.1888,                  1.384,                0.74338,                0.94758,                0.79184,                0.47503,                 1.3298,                 0.9584,                 1.3547,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.3272,                 1.1647,                  1.374,                0.69698,                0.88382,                   0.78,                 0.4529,                 1.3459,                 1.0334,                 1.3661,               0.009901,               0.009901,               0.009901
                     13,                 1.3218,                 1.1433,                 1.3597,                 0.7466,                0.93801,                0.79702,                0.49542,                 1.2771,                0.93275,                 1.3339,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.3132,                  1.122,                 1.3558,                0.73863,                0.94769,                0.79308,                0.46734,                 1.3729,                0.94855,                 1.3841,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.3004,                 1.1206,                 1.3668,                0.73943,                0.95093,                0.78043,                0.48165,                 1.2396,                0.92215,                 1.3113,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.2904,                 1.1012,                 1.3497,                 0.7266,                0.95494,                0.79688,                 0.4937,                 1.2425,                0.86736,                 1.3144,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.2797,                 1.0873,                 1.3435,                0.74517,                0.94492,                0.79146,                0.47536,                 1.3312,                0.88934,                 1.3721,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.2802,                 1.0798,                  1.341,                0.71182,                0.91744,                0.77764,                0.46053,                 1.3486,                0.91226,                 1.3693,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.2531,                 1.0681,                 1.3272,                0.75074,                0.95038,                0.80183,                0.50735,                 1.2277,                0.82837,                  1.306,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.2565,                 1.0573,                 1.3312,                0.72842,                0.94445,                0.78321,                0.47986,                 1.2648,                0.89033,                 1.3352,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.2531,                  1.039,                 1.3222,                 0.7395,                0.94444,                0.77954,                0.49624,                 1.2476,                0.85299,                 1.3185,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.2357,                 1.0207,                 1.3121,                 0.7429,                0.95263,                0.80616,                0.50012,                 1.2976,                0.84022,                  1.342,               0.009802,               0.009802,               0.009802
                     23,                 1.2443,                 1.0221,                 1.3154,                0.74395,                0.93883,                0.78626,                0.49655,                 1.2342,                 0.8139,                  1.311,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.2268,                 1.0054,                 1.3188,                0.76293,                 0.9461,                0.80995,                0.50385,                 1.2521,                0.81775,                  1.325,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.2197,                 1.0184,                 1.3117,                0.75268,                0.93838,                0.78994,                0.50835,                  1.197,                0.81025,                 1.2776,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.2232,                0.99468,                 1.3018,                 0.7575,                0.95943,                0.78577,                0.47302,                 1.2916,                0.80453,                 1.3413,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.2139,                0.99042,                 1.3023,                0.74589,                 0.9614,                0.78556,                0.49318,                 1.2478,                0.79531,                 1.2951,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.2138,                0.97947,                  1.294,                0.75581,                0.94482,                0.77124,                0.47626,                 1.2799,                0.80544,                 1.3354,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.2018,                0.97089,                 1.2835,                0.75682,                0.90853,                0.79045,                0.49658,                 1.2422,                0.79133,                 1.3071,              0.0097327,              0.0097327,              0.0097327
                     30,                  1.193,                0.95512,                 1.2736,                0.74806,                0.95351,                0.79566,                0.48808,                 1.2418,                0.77116,                 1.3113,              0.0097228,              0.0097228,              0.0097228
                     31,                 1.1782,                 0.9415,                 1.2707,                 0.7227,                0.92021,                 0.7826,                0.48799,                 1.2392,                0.79719,                 1.3238,              0.0097129,              0.0097129,              0.0097129
                     32,                 1.1831,                 0.9429,                 1.2767,                   0.77,                0.92001,                0.84597,                0.52576,                 1.2781,                0.75898,                 1.3392,               0.009703,               0.009703,               0.009703
                     33,                 1.1568,                0.92578,                 1.2563,                0.75478,                0.93885,                0.79466,                0.50205,                 1.2365,                 0.7639,                 1.2991,              0.0096931,              0.0096931,              0.0096931
                     34,                 1.1595,                0.92677,                  1.268,                0.75246,                0.93016,                0.81778,                 0.5236,                 1.2204,                0.75286,                 1.2952,              0.0096832,              0.0096832,              0.0096832
